Silver_Price,Gold_price,Year
2715,1800,1981
2720,1970,1982
3105,2130,1983
3570,2140,1984
3955,2570,1985
4015,3130,1986
4794,3140,1987
6066,3200,1988
6755,3466,1989
6463,4045,1990
6646,4140,1991
8040,4234,1992
5489,4300,1993
7124,4334,1994
6335,4400,1995
7346,4598,1996
7345,4680,1997
8560,4725,1998
7615,4990,1999
7900,5160,2000
7215,5600,2001
7875,5850,2002
7695,7000,2003
11770,8400,2004
10675,10800,2005
17405,12500,2006
19520,14500,2007
23625,18500,2008
22165,26343,2009
27255,26400,2010
56900,28006,2011
56290,28623,2012
54030,29600,2013
43070,29667,2014
37825,31050,2015
36990,31438,2016
37825,35220,2017
41400,48651,2018
40600,50045,2019
63435,52950,2020
